diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,cancer,method,subject
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8d7665c7a69d5330cb6330fd4c3f96d74645bec8,3D,"(1.0, 1.0, 1.0)","(107, 512, 512)",-614.3913237669758,-1024.0,2778.0,f25e0799ebb7f98db98942f3b4633f507c4bd94c,"(1.0, 1.0, 1.0)","(107, 512, 512)","(62, 319, 354, 4, 16, 17)",435,1,"(63.38620689655173, 327.17931034482757, 362.4022988505747)","(63.38620689655173, 327.17931034482757, 362.4022988505747)",0.9297913528370134,0.22216214589003683,3.2357077914185783,14.564622512334529,17.0,17.26267650163207,16.0,17.26267650163207,422.5,13.542060069303943,0.5635302853536727,483.1900757588938,1.1436451497251925,435.0,74.4,165.0,7238905.0,2.495008462085515,41.0,4.553240472574433,202.0,28.191592020081917,123.29425287356322,131.0,-10.0,212.0,17.58144211433496,129.00062371764034,-1.166919663919331,7238905.0,0.22102259215219974,1439.6881278900778,41.884443499588095,115.02727721238081,-9.773528667052865,5.253237230091932,3.8686571458661496,0.16703882691927363,1.4102557515857272,2.1199607593245577,1.732693103142715,0.5491939871185866,0.5019682524783242,0.9664626545604217,0.8876151995233225,-0.0968110119254306,0.5740073018941029,0.45874811701914603,6.444933059583355,0.05389668247819419,4.761262797390404,0.404501296870328,0.11498606439290729,12.88986611916671,3.108536364355814,2.2804735939895204,5.5614294678089164,43.110344827586204,0.0991042409829568,8.59355793367684,96.1448275862069,2.3861223411282864,44.08505747126437,38.45287356321839,1814.8022988505747,0.9361210263160181,0.03846248584576444,0.1293907750119912,5.008210629104885,0.01099261651547332,74.75472125475724,0.2070729691951564,2.62573250778473,43.54982014558763,1.8178179333073519,81.35014732184472,0.06307051231328296,0.041158590625438696,3.2963977655564425,263.1641562125124,0.7155102191824316,0.8282935455349247,0.2886235144168231,0.864689088216372,37.22628032758494,0.03761507786191332,7.310344827586207,0.12604042806183116,5.593638525564804,36.224137931034484,528.6379310344828,24554.293103448275,12.090901056463455,0.09108258724945915,17.03448275862069,0.29369797859690844,0.5581831353170491,20.54414068348883,0.06419485074568071,4.730669305726627,0.13333333333333333,472.38793103448273,0.8944960934131476,0.013839926071630869,40.89113618170633,0.05260342894628025,0.5354228455612338,False,original,1
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e0ab011acfc4b85b21e77dfe6699d755d5d9c243,3D,"(1.0, 1.0, 1.0)","(342, 512, 512)",-594.3038509658903,-1024.0,1533.0,947fecadfe352e97e214f11e8b4db3970b7f74cc,"(1.0, 1.0, 1.0)","(342, 512, 512)","(180, 201, 359, 26, 42, 48)",28612,1,"(191.23095204809172, 222.2288200754928, 382.9003914441493)","(191.23095204809172, 222.2288200754928, 382.9003914441493)",0.8465852512834077,0.5147522643109024,23.13736064266517,44.9485359207484,48.373546489791295,50.32891812864648,42.95346318982906,50.53711507397311,28572.166666666668,38.05276757728806,0.8533923084711761,5296.1976391611615,0.1853621288489787,28612.0,2.0,88.0,82181093.0,2.4734881188983815,47.0,2.8608544864171175,169.0,26.874140613241266,42.0415559904935,39.0,-94.0,263.0,19.3606226187727,53.59346645163243,0.26401177319425645,82181093.0,0.20748765538061076,1104.7672162004508,39.78109268619334,97.62231361509241,4.839036405921086,6.005577317507725,1.4022518994926496,0.6215086039447241,0.87541906939963,1.620129163852017,0.6236542401936133,0.6397410434925995,0.6143925828705412,0.988815258321914,0.9303054983469589,-0.15110262613238654,0.7118323961648567,0.5081592955919259,6.21532356928956,0.05657936510310554,4.572091343269404,0.6561952542461965,0.10784788570487991,12.430647138579117,3.303365259225942,1.8519573042500936,6.3650187920307095,1975.2870823430728,0.06903701532025279,15.789096526131551,5936.636795750035,1.8473366645031606,40.338319586187616,105.90766112120788,4164.264364602265,3.1215376873202545,0.030707880799760934,0.03491225436185285,1.4331696275933496,0.0014447503498732997,3812.540704445338,0.1979201381103544,2.0066846327873757,40.619977002400056,3.0445798874629864,121.12552433183244,0.09188804322150966,0.031266019041240184,3.8736006101556035,10041.585728291631,0.5178148112806016,0.6733430835905323,0.8050023297638249,0.7445800704050107,30.35618625955481,0.02372221546035188,91.33773861967694,0.13412296419923192,5.854338765010426,43.098384728340676,228483.43318649047,8516809.873715125,6722.384240275919,0.049964253234117545,189.064610866373,0.2776279161033377,0.539211100798585,22.209413618718454,0.027652046991650137,5.531665072723705,0.0238012022927443,226718.1994906859,39.25281278724457,0.00031292808962871555,32.36342742333152,0.02055317617087976,0.014939089194857856,True,original,1
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},22e18047512aa52054d6739e261bd24e91937a10,3D,"(1.0, 1.0, 1.0)","(302, 512, 512)",-507.5541948735319,-1024.0,1467.0,140a2b4fcbeb96e53f207531c9db25d08db34967,"(1.0, 1.0, 1.0)","(302, 512, 512)","(126, 263, 373, 14, 23, 22)",3023,1,"(132.5835262983791, 273.3731392656302, 383.5633476678796)","(132.5835262983791, 273.3731392656302, 383.5633476678796)",0.8434531788279152,0.5535717626070811,11.544898853780682,20.85528857073427,22.360679774997898,23.53720459187964,23.53720459187964,25.39685019840059,3001.2916666666665,17.590459440359304,0.7892013655526655,1274.9752806333508,0.42480885639794563,3023.0,85.0,155.0,48962280.0,2.1692347741104934,30.0,4.503560475303801,199.0,21.155923672179625,124.06814422758849,128.0,8.0,191.0,13.431514829549227,127.26580912670987,-1.001142751687985,48962280.0,0.27973243833881795,803.681760598451,31.978179539377063,56.153824819617185,-5.437451790452426,3.6262690325630773,1.0115769697222812,0.5618129737229165,0.6789602757556478,1.4635511321721733,0.5397514142906511,0.7078023276346612,0.6931109853737693,0.9851547645492235,0.9280441152120625,-0.1494264286843974,0.6577187806293545,0.46022460535864745,5.59679885949162,0.11467113193918767,3.8305959161575944,0.5773105727305876,0.25398739118601366,11.19359771898324,2.8847599289767936,1.1594615005713396,6.161918557136646,153.1290109163083,0.05065465131204377,29.71829361158672,845.6311610982468,1.3659027618121036,31.457823354283825,156.58054912338736,5408.767118756203,4.916743842370998,0.04496070751599791,0.03177374393047064,0.7478335017810334,0.003980980242772257,426.9510974571306,0.23289215449181236,1.7156250359461966,29.943993520352898,4.226242088564295,139.77459005212398,0.1582049246441797,0.052350339256531334,3.859522905513939,848.8732575062985,0.45734336821937077,0.605257131224713,1.3834478734697306,0.697986927197741,19.895129364914524,0.041565853648759137,12.222222222222221,0.1697530864197531,5.15432098765432,22.055555555555557,34359.430555555555,1149297.736111111,1079.6639570735704,0.1852840765936004,15.416666666666666,0.21412037037037038,0.4573415830430993,9.929763931475192,0.09508767897304132,4.82959870333094,0.023817399933840556,32596.597029320987,5.7200435491548625,0.003241768060462912,12.774190506780394,0.02383802375880444,0.08217928137111477,False,original,2
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0196941df1cf094bb18fca113a3ef8454662bc6c,3D,"(1.0, 1.0, 1.0)","(276, 512, 512)",-595.2904580019523,-1024.0,2335.0,7edf3b29156d1aaf1935d46efb284ff602ccce67,"(1.0, 1.0, 1.0)","(276, 512, 512)","(153, 263, 102, 37, 66, 65)",82250,1,"(172.05525835866263, 295.35116109422495, 133.05807902735563)","(172.05525835866263, 295.35116109422495, 133.05807902735563)",0.9148444992631437,0.5545439790503053,33.66541304437701,60.70828341159046,65.19202405202648,67.11929677819934,66.18912297349165,67.30527468185537,82191.625,55.538639138801486,0.8599055586083915,10631.268322265656,0.12934734314190352,82250.0,11.0,64.0,151403938.0,1.8660075752422993,28.0,3.092081920060288,153.0,16.63111522413873,37.508376899696046,37.0,-41.0,194.0,11.82660500922934,42.90428139127991,0.10616883973975702,151403938.0,0.3192916996701805,433.8990240524755,16.33223533167534,15.278222368364887,0.23224863311188718,2.257947117574758,0.7974296362199029,0.47791860335166686,0.624303756692741,1.3220392025603438,0.39929323153208673,0.7154197585304362,0.7051373609862979,0.9904487140927359,0.9391197965522353,-0.11302910513936298,0.5576055175512754,0.4847688107658109,3.9958827823214906,0.12045709385933204,3.493941133252937,0.47967023963512556,0.2334972473225789,7.991765564642981,2.6250478661432313,0.7638441884486653,5.933112323567157,4812.480583586626,0.058510402232056245,22.234830723884663,26261.74229787234,0.7796679040289723,16.943489361702127,175.77660790273555,2832.291452887538,12.541248159924445,0.07373923123240064,0.02261632550448883,0.44687760845903496,0.002369667473983892,13347.564597597337,0.2888383454874432,0.9356780743297922,17.370899688437472,4.960849999145173,81.27281871325216,0.3597189443518498,0.0754968137149988,3.719607629641129,19003.84275889041,0.40523026119535477,0.5618770166004208,1.6707914463554305,0.6508176838719433,11.530931390264147,0.05049398614623664,328.28088336783986,0.22655685532632153,3.4671454242972835,21.050379572118704,1433427.142857143,23619516.3436853,95302.49685057656,0.12796801875160513,363.8295376121463,0.2510900880691141,0.5111410135727215,11.133435724337719,0.06863249788269744,5.152614728695188,0.017617021276595746,1430205.0723304094,216.11608883560078,9.301911345185159e-05,18.54536992978121,0.010392536561354006,0.0038335969318926645,True,original,2
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},936b1d9f5056d5a32ebf6c71eaaed2b35225e210,3D,"(1.0, 1.0, 1.0)","(93, 512, 512)",-692.7195555163968,-1024.0,1327.0,9d2459b2bde3756362fa3e56685f6ead0c5cda3e,"(1.0, 1.0, 1.0)","(93, 512, 512)","(16, 289, 146, 28, 49, 50)",32701,1,"(29.821320448915934, 312.52848536741993, 169.06216935261918)","(29.821320448915934, 312.52848536741993, 169.06216935261918)",0.9198507935568804,0.5393226734155585,24.2997738576929,45.05609546099957,49.8196748283246,51.40038910358559,48.662100242385755,53.34791467339656,32655.791666666668,41.444885164375016,0.821210606137869,6016.395612588492,0.18423670980023174,32701.0,57.0,163.0,477737503.0,2.6789429334124257,59.0,2.4137703398037464,213.0,32.77749320873351,114.17647778355402,119.0,-13.0,226.0,24.343561014751533,120.86878341995006,-0.37503025188841566,477737503.0,0.17362659114675386,1572.99472636039,39.211477617350575,221.62435258409016,-10.969536059655486,9.595396819489762,0.8818201149177904,0.8317644805909448,0.6512933024943727,1.3807051858666353,0.4456636236221507,0.7098825146971108,0.6973149568089009,0.9914391971960145,0.9424963147366344,-0.31674103588687275,0.8974325466954458,0.4762552296341029,6.085476309069142,0.0571912065094677,4.515450177221764,0.8342114679923122,0.10916013340462184,12.170952618138283,3.602881689544894,2.619304233601888,6.855883885081049,1960.4279685636525,0.059950092307992184,22.296378236555988,5677.763157089998,2.5974068260211647,39.69441301489251,168.1658359071588,7084.980245252439,5.854639043605804,0.03698513347329606,0.016498137452053075,0.5942794445498191,0.0008084187583932355,3245.2786762248656,0.1729584779188664,2.558964154701869,38.677629575642044,4.671975964687947,191.78469407569395,0.1658908663035195,0.03802701527889544,4.391737465019938,7865.059516765182,0.41220936648887757,0.5739368120946665,1.5016585753949832,0.6573247735319911,24.851752040053704,0.025512875652207796,36.19850187265918,0.13557491338074598,6.203509657871481,36.8876404494382,607565.9812734083,24275018.483146068,18108.97409403094,0.07258876848006507,52.91011235955056,0.1981652148297774,0.45206499993341187,14.44559112282994,0.032521046100224466,5.822189483775626,0.0081648879239167,592565.6951002259,32.55287967064815,0.0004677857006774018,16.78962966528958,0.023227241355876355,0.01701672735011439,False,original,3
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8425f4d686974bf2507d932b2d537022896627fd,3D,"(1.0, 1.0, 1.0)","(695, 512, 512)",-550.7701940522777,-1024.0,3070.0,a43811484a6a89474359878845bc2e1ebe6f0273,"(1.0, 1.0, 1.0)","(695, 512, 512)","(414, 265, 364, 24, 20, 20)",5034,1,"(425.3247914183552, 274.447953913389, 373.34068335319824)","(425.3247914183552, 274.447953913389, 373.34068335319824)",0.9419384721487235,0.8460193884375239,17.41797564812205,20.588151862914803,24.331050121192877,22.825424421026653,24.08318915758459,24.351591323771842,5011.916666666667,19.392772310119863,0.8996394948486198,1574.2903705737428,0.31410944660035106,5034.0,21.0,87.0,19101851.0,2.2446490990644388,34.0,5.72491508960813,219.0,21.938835071296666,53.91319030591975,51.0,-36.0,255.0,14.128884183767116,61.60005798231615,0.988690694544901,19101851.0,0.2646509101636879,887.935054462393,22.138734371891253,103.61455557887652,9.306992083898361,3.9462765042907844,1.345570601280022,0.48894997238394694,0.8406958031451974,1.5973609062487975,0.6211736466032792,0.6524234886143224,0.629222869995483,0.9892879839378275,0.9330431058338278,-0.10177946734259934,0.5626913158538399,0.49994371193709697,4.6355671016598405,0.08812727044875093,4.110209757781037,0.6240438058477447,0.15657233426164419,9.271134203319683,2.901445204765676,1.3229617763927022,5.950820405411838,326.6285260230433,0.06488449066806581,17.778066793795833,1332.2526817640048,1.5003182964502488,23.311481922924116,110.07389749702027,2305.709972189114,5.926528160009699,0.05746832803280774,0.03543662908363147,1.0223461723657357,0.0030840707632061536,785.3961025365822,0.23319932961191434,1.8179566418567281,24.16550406577015,3.132540829628837,69.83377424471364,0.17432929697159708,0.058988899997279805,3.706919537056966,1742.760048777129,0.5119853281409683,0.6689587726536476,0.8365344896879061,0.7391029849889243,18.43580200048574,0.04466259239991515,22.35251798561151,0.16080948191087419,6.516122353915428,31.949640287769785,44947.88489208633,920660.5611510791,2358.5177222604893,0.11286920649945814,26.58273381294964,0.19124268930179597,0.4363414534536075,13.109865035485699,0.05666608762897095,5.345741411765051,0.027612236789829162,43636.29874230112,9.0630369683748,0.0016355221580493218,33.273047934381786,0.016145956789725274,0.0979694434298714,True,original,3
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},c9bc35ba35cba278e2c3330b7ee7c2aae51bab1b,3D,"(1.0, 1.0, 1.0)","(288, 512, 512)",-569.9655741188261,-1024.0,2976.0,cd3b8f5acf2d5987db13c18c49136ea1d2c18def,"(1.0, 1.0, 1.0)","(288, 512, 512)","(205, 316, 140, 11, 19, 19)",2236,1,"(209.71422182468694, 325.00626118067976, 149.0174418604651)","(209.71422182468694, 325.00626118067976, 149.0174418604651)",0.9462448727537544,0.583899254148701,10.407151486243887,17.823539612868746,19.235384061671343,20.591260281974,19.235384061671343,20.688160865577203,2217.2083333333335,16.865432973000487,0.8389270587957149,980.1613882720022,0.4420700452620234,2236.0,56.0,106.0,15562675.0,1.8131074715880864,26.25,2.933352293129126,146.0,15.697487207222201,81.0881037567084,81.0,5.0,141.0,11.136667114231196,83.42692269961186,0.011639925622247521,15562675.0,0.32774632697668016,384.77086026830426,14.331530289223041,9.17297846483248,0.006473075760737897,1.7859215077382964,1.0533345241664283,0.2580310054798887,0.7507277551856268,1.4558269743677812,0.4808019956653811,0.6719911751647266,0.6548502396311644,0.9729964485450956,0.8980086611572621,-0.041458812338063936,0.32248441424911,0.5147026296572952,3.761430125267082,0.11474341861305162,3.5221600122172663,0.2647681325978223,0.2069245686736528,7.522860250534164,2.4571925345450834,0.7098140079761812,5.529973426635399,152.19499105545617,0.06806573839689453,16.553482451733068,732.8407871198569,0.7241966311551742,14.941413237924866,109.81932021466905,1572.9181574239715,8.699036101172728,0.08532833929636255,0.03959247088574716,0.6112666272801567,0.005714352341265732,445.7507164447022,0.29893767537658256,0.8476082361930349,15.150170057298482,3.0818315809030503,45.219289861774605,0.2535645414563386,0.08803411092963917,3.243554904670181,761.7455760486945,0.5063181895699327,0.6670221549470207,0.7914094586925334,0.734366047839001,11.253204080071354,0.0666265436614471,24.580246913580247,0.30345983843926233,3.0446578265508304,16.308641975308642,19092.04938271605,270533.1728395062,1475.8146262002745,0.16767146776406036,20.28395061728395,0.25041914342325866,0.4968039553149413,7.297841087576117,0.09821206277129474,4.08628897607083,0.03622540250447227,18330.016765736927,13.090148638950009,0.0031384903950389016,8.219150136266098,0.026940906812980937,0.03572011796585295,False,original,4
v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.11.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8f0b0fee050dd0e467b31d7443e0999f87220696,3D,"(1.0, 1.0, 1.0)","(409, 512, 512)",-590.850929250927,-1024.0,2828.0,bf043889a76700dcb69c69af217a4f4b16c59d7c,"(1.0, 1.0, 1.0)","(409, 512, 512)","(140, 214, 144, 55, 32, 41)",36250,1,"(165.93635862068965, 228.5862896551724, 164.1552827586207)","(165.93635862068965, 228.5862896551724, 164.1552827586207)",0.7757843664789846,0.5728667763461383,27.650186753182197,48.26634724663344,55.31726674375732,41.773197148410844,55.08175741568164,55.46169849544819,36204.791666666664,37.4442776209842,0.8731321178698097,6061.519813660506,0.16742313750810164,36250.0,37.0,93.0,174114009.0,1.9391961055166709,29.0,3.4295606346657967,166.0,17.436585360285378,65.64703448275863,67.0,-42.0,208.0,12.097695185714345,69.30472621590874,-0.2993963301819659,174114009.0,0.30947304713436385,493.6119394815695,26.98388456538636,24.68160555074541,-1.3347156422147282,2.6832240147396993,0.7432287691449472,0.5658586129415023,0.5954884413014573,1.2911136126148786,0.38205672923951745,0.7258024534151772,0.7170083349486356,0.9910839810432213,0.9417743296647718,-0.15304767825391216,0.6509649337596216,0.4762336494688189,5.1477058624938925,0.11989640894130436,3.5586028121345765,0.5775096484310253,0.23084344277001698,10.295411724987783,2.7374287684474417,0.8566131959711617,6.073604611749685,2100.9201103448277,0.05795641683709869,22.57233064941736,11218.39795862069,0.8726218151724138,27.366289655172412,183.0638344827586,5002.44435862069,7.39475455992563,0.04296114124985882,0.018452094638504682,0.49944201397585175,0.0010983865923839657,5565.783679901694,0.2785352694356536,1.0438911993739977,27.380821082774165,5.1314696335422045,140.13185142206012,0.2120883515851886,0.04452094959371164,3.840762494776878,7910.357106277509,0.390635699877951,0.5512106100795756,1.725243715249679,0.6372305048255934,17.432455580186524,0.02935641302922173,116.02834008097166,0.23487518235014507,3.7911619597108626,28.307692307692307,801355.5141700405,22022582.222672064,30794.517531946723,0.07422119063174829,98.1497975708502,0.1986838007507089,0.44291280402188266,11.762678747810352,0.03428971100288699,5.30637541255719,0.013627586206896553,795970.8065859135,65.76946657206977,0.0002418925316728171,15.844690184651235,0.010552607130141141,0.00862392595123331,True,original,4
